#Query Name,Target,Coverage
NP_041965.1,VOG3373,96
NP_041998.1,VOG4572,56
NP_041998.1,VOG9563,57
NP_041984.1,VOG5019,98
NP_041984.1,VOG4726,98
NP_041985.1,VOG5019,98
NP_041985.1,VOG4727,98
NP_042010.1,VOG9941,33
NP_042010.1,VOG4544,26
NP_042011.1,VOG3339,97
NP_042007.1,VOG0041,97
NP_041967.1,VOG4559,97
NP_042008.1,VOG0299,98
NP_041957.1,VOG1696,98
NP_041954.1,VOG3370,95
NP_041962.1,VOG2312,97
NP_042012.1,VOG3340,98
NP_041963.1,VOG0018,45
NP_041966.1,VOG2314,97
NP_042000.1,VOG0034,24
NP_041955.1,VOG3371,98
NP_041979.1,VOG1074,98
NP_041983.1,VOG3375,98
NP_041983.1,VOG10937,98
NP_041960.1,VOG0019,22
NP_041960.1,VOG11032,22
NP_041956.1,VOG9711,97
NP_041961.1,VOG2311,97
NP_041995.1,VOG0030,36
NP_041982.1,VOG0026,23
NP_041982.1,VOG1255,21
NP_041986.1,VOG5019,98
NP_041986.1,VOG4726,98
NP_041987.1,VOG3376,98
NP_041981.1,VOG3374,98
NP_041988.1,VOG0028,64
NP_041988.1,VOG11031,65
NP_042009.1,VOG2403,97
NP_041972.1,VOG0451,98
NP_041972.1,VOG7941,7
NP_041997.1,VOG4572,48
NP_041997.1,VOG9563,49
NP_041996.1,VOG0031,62
NP_041996.1,VOG11026,63
NP_042001.1,VOG0035,98
NP_041999.1,VOG4592,93
NP_042006.1,VOG0040,98
NP_041970.1,VOG0021,82
NP_041959.1,VOG2310,54
NP_041975.1,VOG0025,33
NP_041975.1,VOG10213,30
NP_041958.1,VOG1696,98
NP_041992.1,VOG2350,98
NP_041974.1,VOG4813,98
NP_041974.1,VOG5821,52
NP_042004.1,VOG0038,14
NP_042004.1,VOG4860,0
NP_041980.1,VOG2318,97
NP_041990.1,VOG2349,97
NP_041977.1,VOG0025,37
NP_041977.1,VOG4551,16
NP_041993.1,VOG0029,98
NP_042003.1,VOG0037,26
NP_041989.1,VOG4657,97
NP_041968.1,VOG1070,97
NP_042013.1,VOG2404,98
NP_041969.1,VOG2315,98
NP_041969.1,VOG9286,98
NP_041991.1,VOG2320,97
NP_042002.1,VOG4610,98
NP_042002.1,VOG9208,71
NP_041978.1,VOG2317,98
NP_042005.1,VOG3180,29
NP_042005.1,VOG7229,28
