#Query Name,Target 1,evalue 1,bitscore 1,bias1,coverage1,Target 2,evalue 2,bitscore 2,bias2,coverage2
NP_041965.1,VOG3373
NP_042007.1,VOG0041
NP_041984.1,VOG5019,VOG4726
NP_041985.1,VOG5019,VOG4727
NP_041961.1,VOG2311
NP_041967.1,VOG4559
NP_041997.1,VOG4572,VOG9563
NP_041957.1,VOG1696
NP_041954.1,VOG3370
NP_041962.1,VOG2312
NP_041963.1,VOG0018
NP_041966.1,VOG2314
NP_041975.1,VOG0025,VOG10213
NP_041955.1,VOG3371
NP_041979.1,VOG1074
NP_041983.1,VOG3375,VOG10937
NP_042011.1,VOG3339
NP_041956.1,VOG9711
NP_042010.1,VOG9941,VOG4544
NP_041974.1,VOG4813,VOG5821
NP_041995.1,VOG0030
NP_042012.1,VOG3340
NP_041969.1,VOG2315,VOG9286
NP_041981.1,VOG3374
NP_041988.1,VOG0028,VOG11031
NP_042013.1,VOG2404
NP_041982.1,VOG0026,VOG1255
NP_041998.1,VOG4572,VOG9563
NP_042005.1,VOG3180,VOG7229
NP_042008.1,VOG0299
NP_042009.1,VOG2403
NP_041999.1,VOG4592
NP_042006.1,VOG0040
NP_041970.1,VOG0021
NP_041959.1,VOG2310
NP_042000.1,VOG0034
NP_041958.1,VOG1696
NP_041978.1,VOG2317
NP_042001.1,VOG0035
NP_042004.1,VOG0038,VOG4860
NP_041996.1,VOG0031,VOG11026
NP_041980.1,VOG2318
NP_041990.1,VOG2349
NP_041977.1,VOG0025,VOG4551
NP_041993.1,VOG0029
NP_042003.1,VOG0037
NP_041989.1,VOG4657
NP_041972.1,VOG0451,VOG7941
NP_041986.1,VOG5019,VOG4726
NP_041968.1,VOG1070
NP_041987.1,VOG3376
NP_041991.1,VOG2320
NP_041960.1,VOG0019,VOG11032
NP_041992.1,VOG2350
NP_042002.1,VOG4610,VOG9208
