#Query Name,Target 1,evalue 1,bitscore 1,bias1,coverage1,Target 2,evalue 2,bitscore 2,bias2,coverage2
NP_049640.1,VOG2444,2.6e-40,135.5,8.0,97
NP_049638.1,VOG0395,1.5e-60,202.4,2.2,96
NP_049720.1,VOG4874,3.1e-37,125.9,4.3,98
NP_049884.1,VOG2011,2e-24,84.8,9.7,97
NP_049791.1,VOG0468,3.8e-33,112.7,0.5,89
NP_049748.1,VOG3292,1.4e-36,123.7,6.6,98
NP_049797.1,VOG1821,4e-31,106.1,0.4,98
NP_049642.1,VOG0396,9.7e-46,154.0,3.2,93
NP_049784.1,VOG0464,2.6e-69,230.7,6.1,97
NP_049879.1,VOG0510,4.9e-69,230.2,0.0,95
NP_049647.1,VOG4694,7.3e-49,166.0,8.2,88
NP_049660.1,VOG0405,2.4e-27,93.6,9.0,85
NP_049795.1,VOG5819,4.4e-11,42.5,8.0,39,VOG5022,1.3e-10,40.3,1.5,21
NP_049668.1,VOG1683,2.1e-32,109.8,1.7,96
NP_049737.1,VOG0443,9.2e-63,209.6,0.0,92,VOG5771,1.8e-21,76.0,0.0,81
NP_049882.1,VOG4742,4.8e-22,76.9,4.4,97,VOG4754,7e-22,76.4,3.2,97
NP_049702.1,VOG0426,6.9e-200,662.0,12.1,98
NP_049644.1,VOG1981,8.2e-46,153.6,0.5,93
NP_049696.1,VOG0422,6.6e-44,147.5,2.3,98
NP_049731.1,VOG0441,3.5e-56,187.0,1.1,97
NP_049649.1,VOG0398,1e-32,110.9,5.3,96,VOG4734,2e-13,50.1,1.8,78
NP_049629.1,VOG0982,7.1e-35,119.7,0.2,70
NP_049880.1,VOG0511,6.2e-46,153.7,1.3,98
NP_049718.1,VOG1775,5.8e-34,115.4,2.3,98
NP_049866.1,VOG1864,6.2e-38,128.0,2.4,97
NP_049694.1,VOG0421,1.5e-68,228.5,1.5,86,VOG7214,2e-16,58.9,0.1,25
NP_049653.1,VOG2441,4e-28,96.3,3.2,98
NP_049684.1,VOG1499,1.5e-42,143.4,10.4,97
NP_049709.1,VOG1177,4.9e-114,380.4,1.6,91
NP_049677.1,VOG4703,3.2e-39,132.4,10.4,95
NP_049786.1,VOG0465,1.2e-86,289.8,36.1,90
NP_049829.1,VOG0487,8.6e-52,173.1,2.5,97,VOG10664,4.3e-16,58.1,1.4,63
NP_049628.1,VOG0367,2.1e-49,166.8,0.2,79
NP_049695.1,VOG3291,9.7e-35,117.5,8.9,98
NP_049622.1,VOG0388,4.8e-35,118.2,0.8,93
NP_049780.1,VOG0356,5.5e-227,754.5,18.1,93,VOG8004,1.1e-24,85.7,1.0,24
NP_049651.1,VOG0400,8.6e-43,144.0,1.8,92
NP_049688.1,VOG0419,3e-68,227.7,0.3,98
NP_049869.1,VOG4916,1.2e-25,88.3,1.0,95
NP_049654.1,VOG0025,1.4e-45,156.0,0.7,73
NP_049776.1,VOG5779,9.4e-100,332.1,0.3,33,VOG4544,1.8e-34,119.3,3.2,47
NP_049782.1,VOG1001,3.5e-237,787.2,12.0,95,VOG9192,1.7e-08,32.4,0.1,39
NP_049724.1,VOG2422,7.8e-40,134.5,3.3,92,VOG4979,2.3e-21,75.5,1.3,95
NP_049671.1,VOG0411,4e-48,160.7,5.8,96
NP_049739.1,VOG0445,3.5e-53,177.9,3.7,94
NP_049657.1,VOG5819,2e-14,53.4,5.6,77,VOG4825,8e-09,34.6,6.2,83
NP_049858.1,VOG1414,1.6e-37,126.9,2.7,95
NP_049722.1,VOG2423,2.9e-42,142.0,3.8,98
NP_049886.1,VOG5435,4.9e-19,66.7,16.6,96
NP_049775.1,VOG4696,9.1e-68,226.2,3.6,94
NP_049841.1,VOG4562,4.7e-153,508.4,4.2,90,VOG7880,9.4e-102,336.7,0.7,40
NP_049673.1,VOG0412,1.3e-209,695.4,2.5,98
NP_049626.1,VOG4810,1.9e-62,209.4,3.7,95,VOG6817,3.6e-39,133.6,0.7,86
NP_049682.1,VOG4788,5.9e-44,146.9,3.8,82,VOG4764,9.1e-35,117.3,2.0,82
NP_049666.1,VOG0409,1.3e-83,278.9,0.2,95
NP_049800.1,VOG4550,1.2e-25,89.6,0.4,85
NP_049669.1,VOG0083,1.1e-157,525.7,27.0,97
NP_049851.1,VOG2198,4.8e-42,141.2,1.7,98
NP_049877.1,VOG2200,2e-09,36.1,2.5,80
NP_049789.1,VOG0466,1.7e-131,438.5,0.2,90
NP_049641.1,VOG0395,1e-13,50.2,1.8,71
NP_049635.1,VOG0393,9.6e-34,115.4,0.4,94
NP_049664.1,VOG0408,7.3e-69,230.0,3.4,87
NP_049670.1,VOG2192,5.1e-41,137.5,4.3,98
NP_049853.1,VOG2004,2.2e-43,145.7,1.7,98
NP_049661.1,VOG7401,4.2e-12,45.5,0.4,87
NP_049806.1,VOG0477,8.4e-88,294.1,10.3,84
NP_049765.1,VOG0454,0.0,1812.0,30.7,98,VOG10086,1.3e-100,334.9,14.1,24
NP_049643.1,VOG1980,3.1e-34,116.1,0.6,92
NP_049637.1,VOG0394,1.6e-32,110.7,0.6,98
NP_049728.1,VOG0438,3.1e-34,116.5,0.0,96
NP_049819.1,VOG2195,7.7e-36,120.6,0.1,95
NP_049699.1,VOG0424,1.5e-34,117.4,1.8,98
NP_049658.1,VOG5657,1.4e-200,664.8,13.4,98
NP_049645.1,VOG4825,1.2e-126,420.0,5.9,98
NP_049662.1,VOG4577,0.0,1096.0,16.5,86,VOG3824,1.4e-169,563.1,0.0,41
NP_049686.1,VOG4549,7.9e-17,60.8,0.1,67
NP_049624.1,VOG4723,4.8e-58,194.7,4.6,95
NP_049798.1,VOG4859,4e-53,176.7,4.2,98
NP_049675.1,VOG0413,4.1e-29,99.1,5.0,76,VOG6390,1.9e-08,33.5,0.1,57
NP_049803.1,VOG0474,9.4e-203,672.6,7.5,96
NP_049769.1,VOG0457,9.5e-80,266.3,0.7,97
NP_049665.1,VOG0996,3.5e-119,397.1,0.1,96
NP_049691.2,VOG4785,6.2e-73,245.0,21.1,95,VOG5819,2.8e-11,43.1,13.0,54
NP_049840.1,VOG0493,9.3e-67,222.3,3.5,93
NP_049679.1,VOG1006,6.6e-55,184.6,6.9,84
NP_049708.1,VOG1988,4.3e-172,570.5,3.0,96,VOG0996,1.4e-07,30.5,0.3,42
NP_049676.1,VOG0414,1.8e-39,133.0,0.5,98
NP_049878.1,VOG3294,6.8e-22,76.0,6.4,96
NP_049824.1,VOG0485,3.5e-47,158.0,1.0,97
NP_049618.1,VOG5656,1.9e-86,286.8,1.1,97,VOG0382,3e-55,187.1,0.1,82
NP_049864.1,VOG0227,8.2e-38,129.3,0.8,91
NP_049652.1,VOG0401,6.6e-42,140.3,0.4,95
NP_049804.2,VOG0475,1.3e-84,281.4,0.1,97
NP_049801.1,VOG0997,1.1e-65,220.3,3.9,98
NP_049689.1,VOG5022,5.4e-18,64.5,5.1,69
NP_049772.1,VOG0460,1.5e-104,347.9,0.0,79
NP_049855.1,VOG2005,1.5e-125,415.7,0.9,97,VOG5819,2.7e-12,46.4,0.2,43
NP_049809.1,VOG0480,1.8e-20,72.1,0.2,82,VOG10986,1.8e-12,45.5,0.2,79
NP_049826.1,VOG1831,5.8e-39,131.2,0.4,96
NP_049777.1,VOG5779,1.1e-85,286.0,0.0,32,VOG4544,4.1e-35,121.4,1.3,55
NP_049811.1,VOG0480,2.8e-258,858.1,5.9,95,VOG10986,1.6e-124,415.9,10.6,94
NP_049623.1,VOG0390,1.1e-09,38.2,0.1,86
NP_049750.1,VOG0450,1e-68,229.0,0.0,97
NP_049857.1,VOG1861,2.1e-29,100.4,1.6,70
NP_049617.1,VOG1975,5.2e-38,127.7,5.3,98
NP_049808.1,VOG0479,1.2e-45,152.9,1.7,97
NP_049774.1,VOG0462,4.5e-99,330.4,2.0,93
NP_049633.1,VOG2190,6.3e-38,128.6,0.1,93
NP_049621.1,VOG0382,7.7e-207,687.8,5.1,90
NP_049802.1,VOG0997,9.3e-60,201.0,9.4,77
NP_049887.1,VOG2012,3e-100,332.6,0.0,98
NP_049875.1,VOG0384,9.3e-175,581.2,8.5,97
NP_049719.1,VOG1030,9.5e-87,289.0,0.3,97
NP_049627.1,VOG10931,2.6e-22,78.5,1.1,92
NP_049683.1,VOG11067,1e-31,107.6,3.1,97,VOG2434,1.4e-28,97.6,2.0,95
